time [s], x [m], y [m], z[m], E [MeV], px [MeV], py [MeV], pz [MeV]
2.44E-10,-0.0015200898,-0.0010128338,0.036189646,1063.2245764653862,-37.55685,-32.447243,498.1357
2.45E-10,-0.0015306869,-0.001021989,0.0363302,1063.2245764653862,-37.55685,-32.447243,498.1357
2.46E-10,-0.0015412839,-0.0010311444,0.036470756,1063.2245764653862,-37.55685,-32.447243,498.1357
2.47E-10,-0.001551881,-0.0010402998,0.036611307,1063.2245764653862,-37.55685,-32.447243,498.1357
2.48E-10,-0.001562478,-0.001049455,0.036751863,1063.2245764653862,-37.55685,-32.447243,498.1357
2.49E-10,-0.0015730751,-0.0010586104,0.036892418,1063.2245764653862,-37.55685,-32.447243,498.1357
2.5E-10,-0.0015836721,-0.0010677658,0.037032973,1063.2245764653862,-37.55685,-32.447243,498.1357
2.51E-10,-0.0015942692,-0.0010769211,0.037173524,1063.2245764653862,-37.55685,-32.447243,498.1357
2.52E-10,-0.0016048662,-0.0010860764,0.03731408,1063.2245764653862,-37.55685,-32.447243,498.1357
2.53E-10,-0.0016154633,-0.0010952317,0.037454635,1063.2245764653862,-37.55685,-32.447243,498.1357
2.54E-10,-0.0016260603,-0.0011043871,0.03759519,1063.2245764653862,-37.55685,-32.447243,498.1357
2.55E-10,-0.0016366574,-0.0011135424,0.03773574,1063.2245764653862,-37.55685,-32.447243,498.1357
2.56E-10,-0.0016472545,-0.0011226977,0.037876297,1063.2245764653862,-37.55685,-32.447243,498.1357
2.57E-10,-0.0016578515,-0.0011318531,0.038016852,1063.2245764653862,-37.55685,-32.447243,498.1357
2.58E-10,-0.0016684486,-0.0011410083,0.038157403,1063.2245764653862,-37.55685,-32.447243,498.1357
